Position,Date,Time,Ch1_Value,Ch1_Unit,extechtemp,Ch2_unit,extechco2,Ch3_unit,DateTime
18312,11-11-20,04:34:22,59,       %RH,22,  DEGREE C,872,       PPM,2020-11-11T04:34:22
18313,11-11-2020,04:39:21,58.1,       %RH,22,  DEGREE C,696,       PPM,2020-11-11T04:39:21
18314,11-11-2020,04:44:21,57.8,       %RH,21.9,  DEGREE C,590,       PPM,2020-11-11T04:44:21
18315,11-11-2020,04:49:21,57.4,       %RH,21.8,  DEGREE C,545,       PPM,2020-11-11T04:49:21
18316,11-11-2020,04:54:21,57.6,       %RH,21.7,  DEGREE C,530,       PPM,2020-11-11T04:54:21
18317,11-11-2020,04:59:21,57.4,       %RH,21.5,  DEGREE C,493,       PPM,2020-11-11T04:59:21
18318,11-11-2020,05:04:21,57.3,       %RH,21.5,  DEGREE C,479,       PPM,2020-11-11T05:04:21
18319,11-11-2020,05:09:21,57.4,       %RH,21.4,  DEGREE C,485,       PPM,2020-11-11T05:09:21
18320,11-11-2020,05:14:21,57.5,       %RH,21.4,  DEGREE C,488,       PPM,2020-11-11T05:14:21
18321,11-11-2020,05:19:21,57.5,       %RH,21.4,  DEGREE C,479,       PPM,2020-11-11T05:19:21
18322,11-11-2020,05:24:21,57.7,       %RH,21.3,  DEGREE C,504,       PPM,2020-11-11T05:24:21
18323,11-11-2020,05:29:21,58,       %RH,21.3,  DEGREE C,504,       PPM,2020-11-11T05:29:21
18324,11-11-2020,05:34:21,58.1,       %RH,21.4,  DEGREE C,531,       PPM,2020-11-11T05:34:21
18325,11-11-2020,05:39:21,58.2,       %RH,21.4,  DEGREE C,553,       PPM,2020-11-11T05:39:21
18326,11-11-2020,05:44:21,58.4,       %RH,21.4,  DEGREE C,614,       PPM,2020-11-11T05:44:21
18327,11-11-2020,05:49:21,58.5,       %RH,21.5,  DEGREE C,611,       PPM,2020-11-11T05:49:21
18328,11-11-2020,05:54:21,58.4,       %RH,21.6,  DEGREE C,644,       PPM,2020-11-11T05:54:21
18329,11-11-2020,05:59:21,58,       %RH,21.6,  DEGREE C,592,       PPM,2020-11-11T05:59:21
