Position,Date,Time,Ch1_Value,Ch1_Unit,extechtemp-B,Ch2_unit,extechco2-B,Ch3_unit,DateTime
2,10-11-15,21:05:59,54.3,       %RH,23.8,  DEGREE C,550,       PPM,2020-11-10T21:05:59
3,10-11-15,21:10:58,53.7,       %RH,23.9,  DEGREE C,594,       PPM,2020-11-10T21:10:58
4,10-11-15,21:15:58,53.5,       %RH,23.9,  DEGREE C,594,       PPM,2020-11-10T21:15:58
5,10-11-15,21:20:58,53.2,       %RH,23.9,  DEGREE C,597,       PPM,2020-11-10T21:20:58
6,10-11-15,21:25:58,53.9,       %RH,23.9,  DEGREE C,592,       PPM,2020-11-10T21:25:58
7,10-11-15,21:30:58,53.9,       %RH,23.9,  DEGREE C,558,       PPM,2020-11-10T21:30:58
8,10-11-15,21:35:58,53.9,       %RH,23.8,  DEGREE C,546,       PPM,2020-11-10T21:35:58
9,10-11-15,21:40:58,54,       %RH,23.8,  DEGREE C,577,       PPM,2020-11-10T21:40:58
10,10-11-15,21:45:58,54,       %RH,23.7,  DEGREE C,545,       PPM,2020-11-10T21:45:58
11,10-11-15,21:50:58,54.2,       %RH,23.7,  DEGREE C,584,       PPM,2020-11-10T21:50:58
12,10-11-15,21:55:58,54.3,       %RH,23.7,  DEGREE C,575,       PPM,2020-11-10T21:55:58
13,10-11-15,22:00:58,54.3,       %RH,23.7,  DEGREE C,565,       PPM,2020-11-10T22:00:58
14,10-11-15,22:05:58,54.6,       %RH,23.6,  DEGREE C,576,       PPM,2020-11-10T22:05:58
15,10-11-15,22:10:58,54.7,       %RH,23.6,  DEGREE C,595,       PPM,2020-11-10T22:10:58
16,10-11-15,22:15:58,54.8,       %RH,23.6,  DEGREE C,593,       PPM,2020-11-10T22:15:58
17,10-11-15,22:20:58,55,       %RH,23.5,  DEGREE C,596,       PPM,2020-11-10T22:20:58
18,10-11-15,22:25:58,55,       %RH,23.5,  DEGREE C,625,       PPM,2020-11-10T22:25:58
19,10-11-15,22:30:58,55,       %RH,23.5,  DEGREE C,627,       PPM,2020-11-10T22:30:58
20,10-11-15,22:35:58,55.1,       %RH,23.5,  DEGREE C,591,       PPM,2020-11-10T22:35:58
21,10-11-15,22:40:58,55.3,       %RH,23.5,  DEGREE C,601,       PPM,2020-11-10T22:40:58
22,10-11-15,22:45:58,55.4,       %RH,23.4,  DEGREE C,624,       PPM,2020-11-10T22:45:58
23,10-11-15,22:50:58,55.4,       %RH,23.4,  DEGREE C,635,       PPM,2020-11-10T22:50:58
24,10-11-15,22:55:58,55.5,       %RH,23.4,  DEGREE C,617,       PPM,2020-11-10T22:55:58
25,10-11-15,23:00:58,55.6,       %RH,23.4,  DEGREE C,635,       PPM,2020-11-10T23:00:58
26,10-11-15,23:05:58,55.7,       %RH,23.3,  DEGREE C,638,       PPM,2020-11-10T23:05:58
27,10-11-15,23:10:58,55.8,       %RH,23.3,  DEGREE C,620,       PPM,2020-11-10T23:10:58
28,10-11-15,23:15:58,55.9,       %RH,23.3,  DEGREE C,620,       PPM,2020-11-10T23:15:58
29,10-11-15,23:20:58,56,       %RH,23.3,  DEGREE C,644,       PPM,2020-11-10T23:20:58
30,10-11-15,23:25:58,56,       %RH,23.3,  DEGREE C,647,       PPM,2020-11-10T23:25:58
31,10-11-15,23:30:58,56,       %RH,23.2,  DEGREE C,664,       PPM,2020-11-10T23:30:58
32,10-11-15,23:35:58,56,       %RH,23.2,  DEGREE C,655,       PPM,2020-11-10T23:35:58
33,10-11-15,23:40:58,56.1,       %RH,23.1,  DEGREE C,637,       PPM,2020-11-10T23:40:58
34,10-11-15,23:45:58,56.1,       %RH,23.1,  DEGREE C,646,       PPM,2020-11-10T23:45:58
35,10-11-15,23:50:58,56.2,       %RH,23.1,  DEGREE C,644,       PPM,2020-11-10T23:50:58
36,10-11-15,23:55:58,56.3,       %RH,23,  DEGREE C,645,       PPM,2020-11-10T23:55:58
37,11-11-15,00:00:58,56.4,       %RH,23,  DEGREE C,626,       PPM,2020-11-11T00:00:58
38,11-11-15,00:05:58,56.3,       %RH,23,  DEGREE C,622,       PPM,2020-11-11T00:05:58
39,11-11-15,00:10:58,56.6,       %RH,23,  DEGREE C,646,       PPM,2020-11-11T00:10:58
40,11-11-15,00:15:58,56.5,       %RH,23,  DEGREE C,630,       PPM,2020-11-11T00:15:58
41,11-11-15,00:20:58,56.6,       %RH,23,  DEGREE C,682,       PPM,2020-11-11T00:20:58
42,11-11-15,00:25:58,56.6,       %RH,22.9,  DEGREE C,647,       PPM,2020-11-11T00:25:58
43,11-11-15,00:30:58,56.7,       %RH,22.9,  DEGREE C,655,       PPM,2020-11-11T00:30:58
44,11-11-15,00:35:58,56.6,       %RH,22.8,  DEGREE C,658,       PPM,2020-11-11T00:35:58
45,11-11-15,00:40:58,56.7,       %RH,22.8,  DEGREE C,637,       PPM,2020-11-11T00:40:58
46,11-11-15,00:45:58,56.7,       %RH,22.8,  DEGREE C,643,       PPM,2020-11-11T00:45:58
47,11-11-15,00:50:58,56.8,       %RH,22.7,  DEGREE C,660,       PPM,2020-11-11T00:50:58
48,11-11-15,00:55:58,56.9,       %RH,22.7,  DEGREE C,653,       PPM,2020-11-11T00:55:58
49,11-11-15,01:00:58,56.8,       %RH,22.7,  DEGREE C,647,       PPM,2020-11-11T01:00:58
50,11-11-15,01:05:58,56.9,       %RH,22.7,  DEGREE C,637,       PPM,2020-11-11T01:05:58
51,11-11-15,01:10:58,56.9,       %RH,22.6,  DEGREE C,635,       PPM,2020-11-11T01:10:58
52,11-11-15,01:15:58,57,       %RH,22.6,  DEGREE C,660,       PPM,2020-11-11T01:15:58
53,11-11-15,01:20:58,57,       %RH,22.6,  DEGREE C,642,       PPM,2020-11-11T01:20:58
54,11-11-15,01:25:58,57.1,       %RH,22.6,  DEGREE C,637,       PPM,2020-11-11T01:25:58
55,11-11-15,01:30:58,57.2,       %RH,22.5,  DEGREE C,640,       PPM,2020-11-11T01:30:58
56,11-11-15,01:35:58,57.1,       %RH,22.5,  DEGREE C,634,       PPM,2020-11-11T01:35:58
57,11-11-15,01:40:58,57.3,       %RH,22.5,  DEGREE C,653,       PPM,2020-11-11T01:40:58
58,11-11-15,01:45:58,57.2,       %RH,22.5,  DEGREE C,641,       PPM,2020-11-11T01:45:58
59,11-11-15,01:50:58,57.3,       %RH,22.4,  DEGREE C,656,       PPM,2020-11-11T01:50:58
60,11-11-15,01:55:58,57.3,       %RH,22.4,  DEGREE C,636,       PPM,2020-11-11T01:55:58
61,11-11-15,02:00:58,57.4,       %RH,22.4,  DEGREE C,631,       PPM,2020-11-11T02:00:58
62,11-11-15,02:05:58,57.5,       %RH,22.2,  DEGREE C,660,       PPM,2020-11-11T02:05:58
63,11-11-15,02:10:58,57.6,       %RH,22.3,  DEGREE C,654,       PPM,2020-11-11T02:10:58
64,11-11-15,02:15:58,57.5,       %RH,22.3,  DEGREE C,657,       PPM,2020-11-11T02:15:58
65,11-11-15,02:20:58,57.5,       %RH,22.3,  DEGREE C,661,       PPM,2020-11-11T02:20:58
66,11-11-15,02:25:58,57.5,       %RH,22.3,  DEGREE C,638,       PPM,2020-11-11T02:25:58
67,11-11-15,02:30:58,57.8,       %RH,22.2,  DEGREE C,632,       PPM,2020-11-11T02:30:58
68,11-11-15,02:35:58,57.8,       %RH,22.3,  DEGREE C,644,       PPM,2020-11-11T02:35:58
69,11-11-15,02:40:58,57.9,       %RH,22.3,  DEGREE C,646,       PPM,2020-11-11T02:40:58
70,11-11-15,02:45:58,58,       %RH,22.2,  DEGREE C,627,       PPM,2020-11-11T02:45:58
71,11-11-15,02:50:58,57.9,       %RH,22.2,  DEGREE C,642,       PPM,2020-11-11T02:50:58
72,11-11-15,02:55:58,58,       %RH,22.2,  DEGREE C,646,       PPM,2020-11-11T02:55:58
73,11-11-15,03:00:58,57.8,       %RH,22.2,  DEGREE C,634,       PPM,2020-11-11T03:00:58
74,11-11-15,03:05:58,57.7,       %RH,22.2,  DEGREE C,624,       PPM,2020-11-11T03:05:58
75,11-11-15,03:10:58,57.5,       %RH,22.2,  DEGREE C,622,       PPM,2020-11-11T03:10:58
76,11-11-15,03:15:58,57.5,       %RH,22.2,  DEGREE C,627,       PPM,2020-11-11T03:15:58
77,11-11-15,03:20:58,57.6,       %RH,22.2,  DEGREE C,640,       PPM,2020-11-11T03:20:58
78,11-11-15,03:25:58,57.5,       %RH,22.2,  DEGREE C,631,       PPM,2020-11-11T03:25:58
79,11-11-15,03:30:58,57.5,       %RH,22.2,  DEGREE C,632,       PPM,2020-11-11T03:30:58
80,11-11-15,03:35:58,57.6,       %RH,22.2,  DEGREE C,636,       PPM,2020-11-11T03:35:58
81,11-11-15,03:40:58,57.7,       %RH,22.1,  DEGREE C,645,       PPM,2020-11-11T03:40:58
82,11-11-15,03:45:58,57.6,       %RH,22.1,  DEGREE C,621,       PPM,2020-11-11T03:45:58
83,11-11-15,03:50:58,57.6,       %RH,22.1,  DEGREE C,642,       PPM,2020-11-11T03:50:58
84,11-11-15,03:55:58,57.8,       %RH,22.1,  DEGREE C,658,       PPM,2020-11-11T03:55:58
85,11-11-15,04:00:58,57.7,       %RH,22.1,  DEGREE C,653,       PPM,2020-11-11T04:00:58
86,11-11-15,04:05:58,57.7,       %RH,22.1,  DEGREE C,643,       PPM,2020-11-11T04:05:58
87,11-11-15,04:10:58,57.6,       %RH,22,  DEGREE C,637,       PPM,2020-11-11T04:10:58
88,11-11-15,04:15:58,57.5,       %RH,22,  DEGREE C,646,       PPM,2020-11-11T04:15:58
89,11-11-15,04:20:58,57.5,       %RH,22,  DEGREE C,622,       PPM,2020-11-11T04:20:58
90,11-11-15,04:25:58,57.5,       %RH,22,  DEGREE C,632,       PPM,2020-11-11T04:25:58
91,11-11-15,04:30:58,57.7,       %RH,22,  DEGREE C,672,       PPM,2020-11-11T04:30:58
92,11-11-15,04:35:58,57.7,       %RH,22,  DEGREE C,627,       PPM,2020-11-11T04:35:58
93,11-11-15,04:40:58,57.5,       %RH,22,  DEGREE C,610,       PPM,2020-11-11T04:40:58
94,11-11-15,04:45:58,57.3,       %RH,21.9,  DEGREE C,555,       PPM,2020-11-11T04:45:58
95,11-11-15,04:50:58,57.1,       %RH,21.8,  DEGREE C,505,       PPM,2020-11-11T04:50:58
96,11-11-15,04:55:58,57.1,       %RH,21.7,  DEGREE C,508,       PPM,2020-11-11T04:55:58
97,11-11-15,05:00:58,56.9,       %RH,21.6,  DEGREE C,473,       PPM,2020-11-11T05:00:58
98,11-11-15,05:05:58,57,       %RH,21.6,  DEGREE C,472,       PPM,2020-11-11T05:05:58
99,11-11-15,05:10:58,57.1,       %RH,21.5,  DEGREE C,482,       PPM,2020-11-11T05:10:58
100,11-11-15,05:15:58,57.2,       %RH,21.5,  DEGREE C,482,       PPM,2020-11-11T05:15:58
101,11-11-15,05:20:58,57.4,       %RH,21.4,  DEGREE C,492,       PPM,2020-11-11T05:20:58
102,11-11-15,05:25:58,57.6,       %RH,21.5,  DEGREE C,490,       PPM,2020-11-11T05:25:58
103,11-11-15,05:30:58,57.8,       %RH,21.5,  DEGREE C,562,       PPM,2020-11-11T05:30:58
104,11-11-15,05:35:58,57.9,       %RH,21.5,  DEGREE C,547,       PPM,2020-11-11T05:35:58
105,11-11-15,05:40:58,58,       %RH,21.6,  DEGREE C,574,       PPM,2020-11-11T05:40:58
106,11-11-15,05:45:58,57.9,       %RH,21.6,  DEGREE C,573,       PPM,2020-11-11T05:45:58
107,11-11-15,05:50:58,57.9,       %RH,21.7,  DEGREE C,582,       PPM,2020-11-11T05:50:58
108,11-11-15,05:55:58,57.6,       %RH,21.7,  DEGREE C,560,       PPM,2020-11-11T05:55:58
109,11-11-15,06:00:58,57.5,       %RH,21.7,  DEGREE C,553,       PPM,2020-11-11T06:00:58
110,11-11-15,06:05:58,57.3,       %RH,21.7,  DEGREE C,550,       PPM,2020-11-11T06:05:58
111,11-11-15,06:10:58,57.2,       %RH,21.7,  DEGREE C,542,       PPM,2020-11-11T06:10:58
112,11-11-15,06:15:58,57.3,       %RH,21.6,  DEGREE C,515,       PPM,2020-11-11T06:15:58
113,11-11-15,06:20:58,57.4,       %RH,21.6,  DEGREE C,472,       PPM,2020-11-11T06:20:58
114,11-11-15,06:25:58,57.6,       %RH,21.6,  DEGREE C,478,       PPM,2020-11-11T06:25:58
115,11-11-15,06:30:58,57.7,       %RH,21.5,  DEGREE C,476,       PPM,2020-11-11T06:30:58
116,11-11-15,06:35:58,57.8,       %RH,21.5,  DEGREE C,486,       PPM,2020-11-11T06:35:58
117,11-11-15,06:40:58,57.9,       %RH,21.5,  DEGREE C,477,       PPM,2020-11-11T06:40:58
118,11-11-15,06:45:58,58.4,       %RH,21.5,  DEGREE C,490,       PPM,2020-11-11T06:45:58
119,11-11-15,06:50:58,58.3,       %RH,21.5,  DEGREE C,495,       PPM,2020-11-11T06:50:58
