datetime, co2-ccs811, co2-mhz, temp-bme280, temp-mhz 
2020-11-09T15:46:34,436,404,36,28.8,28.0
2020-11-09T15:46:44,414,402,36,28.8,28.0
2020-11-09T15:46:54,406,404,36,28.8,28.0
2020-11-09T15:47:04,1491,402,39,28.4,27.0
2020-11-09T15:47:14,594,403,37,28.5,27.0
2020-11-09T15:47:24,487,402,37,28.5,27.0
2020-11-09T15:47:34,465,400,37,28.5,27.0
2020-11-09T15:47:44,470,413,37,28.5,27.0
2020-11-09T15:47:54,424,430,37,28.5,27.0
2020-11-09T15:48:04,483,440,37,28.6,27.0
2020-11-09T15:48:14,447,461,37,28.6,27.0
2020-11-09T15:48:24,400,465,36,28.6,27.0
2020-11-09T15:48:34,405,469,36,28.6,27.0
2020-11-09T15:48:44,400,473,36,28.7,27.0
2020-11-09T15:48:54,410,477,36,28.7,27.0
2020-11-09T15:49:04,417,479,36,28.7,27.0
2020-11-09T15:49:14,426,479,36,28.7,27.0
2020-11-09T15:49:24,405,480,36,28.8,28.0
2020-11-09T15:49:34,405,482,36,28.8,28.0
2020-11-09T15:49:44,400,482,36,28.8,27.0
2020-11-09T15:49:54,424,482,36,28.8,27.0
2020-11-09T15:50:04,420,482,36,28.8,28.0
2020-11-09T15:50:14,420,481,36,28.8,27.0
2020-11-09T15:50:24,411,483,36,28.8,27.0
2020-11-09T15:50:34,400,487,36,28.8,28.0
2020-11-09T15:50:44,400,485,36,28.8,28.0
2020-11-09T15:50:54,423,484,36,28.9,27.0
2020-11-09T15:51:04,408,482,36,28.9,27.0
2020-11-09T15:51:14,400,479,35,28.9,27.0
2020-11-09T15:51:24,400,479,35,28.9,27.0
2020-11-09T15:51:34,400,479,35,28.9,27.0
2020-11-09T15:51:44,408,480,35,28.9,27.0
2020-11-09T15:51:54,400,479,35,28.9,27.0
2020-11-09T15:52:04,428,479,35,28.9,27.0
2020-11-09T15:52:14,400,478,35,28.9,27.0
2020-11-09T15:52:24,403,478,35,28.9,27.0
2020-11-09T15:52:34,417,472,35,28.9,27.0
2020-11-09T15:52:44,448,460,35,28.9,27.0
2020-11-09T15:52:54,460,443,35,28.9,27.0
2020-11-09T15:53:04,464,433,35,28.9,27.0
2020-11-09T15:53:14,460,425,35,28.9,27.0
2020-11-09T15:53:24,460,416,35,28.9,27.0
2020-11-09T15:53:34,424,409,35,28.9,27.0
2020-11-09T15:53:44,400,407,35,28.9,27.0
2020-11-09T15:53:54,406,402,35,28.9,27.0
2020-11-09T15:54:04,414,400,35,28.9,27.0
2020-11-09T15:54:14,410,401,35,28.9,27.0
2020-11-09T15:54:24,406,402,35,28.9,27.0
2020-11-09T15:54:34,414,400,35,28.9,27.0
2020-11-09T15:54:44,448,400,35,28.9,27.0
2020-11-09T15:54:54,436,401,35,28.9,27.0
2020-11-09T15:55:04,441,401,35,28.9,27.0
2020-11-09T15:55:14,445,404,35,28.9,27.0
2020-11-09T15:55:24,464,400,35,28.9,27.0
2020-11-09T15:55:34,473,404,35,28.9,27.0
2020-11-09T15:55:44,460,404,35,28.9,27.0
2020-11-09T15:55:54,460,404,35,28.9,27.0
2020-11-09T15:56:04,456,401,35,28.9,27.0
2020-11-09T15:56:14,464,402,35,28.9,27.0
2020-11-09T15:56:24,473,402,35,28.9,27.0
2020-11-09T15:56:34,442,401,35,28.9,27.0
2020-11-09T15:56:44,451,401,35,28.9,27.0
2020-11-09T15:56:54,464,401,35,28.9,27.0
2020-11-09T15:57:04,452,402,35,28.9,27.0
2020-11-09T15:57:14,456,402,35,28.9,27.0
2020-11-09T15:57:24,460,404,35,28.9,27.0
2020-11-09T15:57:34,475,404,35,28.9,27.0
2020-11-09T15:57:44,496,404,35,28.9,27.0
2020-11-09T15:57:54,505,404,35,28.9,27.0
2020-11-09T15:58:04,508,402,35,28.9,27.0
2020-11-09T15:58:14,523,404,35,28.9,27.0
2020-11-09T15:58:24,496,401,35,28.9,27.0
2020-11-09T15:58:34,501,403,35,28.9,27.0
2020-11-09T15:58:44,478,402,35,28.9,27.0
2020-11-09T15:58:54,487,400,35,28.9,27.0
2020-11-09T15:59:04,451,404,35,28.9,27.0
2020-11-09T15:59:14,432,404,35,28.9,27.0
2020-11-09T15:59:24,448,401,35,28.9,27.0
2020-11-09T15:59:34,451,400,35,28.9,27.0
2020-11-09T15:59:44,427,400,35,28.9,27.0
2020-11-09T15:59:54,427,400,35,28.9,27.0
2020-11-09T16:00:04,420,400,35,28.9,27.0
2020-11-09T16:00:14,420,403,35,28.9,27.0
2020-11-09T16:00:24,448,401,35,28.9,27.0
2020-11-09T16:00:34,460,400,35,28.9,27.0
2020-11-09T16:00:44,424,403,35,28.9,27.0
2020-11-09T16:00:54,436,402,35,28.9,27.0
2020-11-09T16:01:04,456,400,35,28.9,27.0
2020-11-09T16:01:14,460,404,35,28.9,27.0
2020-11-09T16:01:24,448,401,35,28.8,27.0
