time, co2, tvoc, rh, temp
2020-11-08T09:20:00,400,0,42.64,27.20
2020-11-08T09:20:10,403,0,42.46,27.29
2020-11-08T09:20:20,418,2,42.35,27.39
2020-11-08T09:20:30,402,0,42.16,27.48
2020-11-08T09:20:40,400,0,42.15,27.53
2020-11-08T09:20:50,403,0,41.80,27.62
2020-11-08T09:21:00,410,1,41.77,27.70
2020-11-08T09:21:10,435,5,41.59,27.72
2020-11-08T09:21:20,432,4,41.42,27.81
2020-11-08T09:21:30,405,0,41.28,27.84
2020-11-08T09:21:40,406,0,41.24,27.89
2020-11-08T09:21:50,65021,65021,41.11,27.93
2020-11-08T09:22:06,400,0,41.07,27.94
2020-11-08T09:22:16,400,0,40.93,27.96
2020-11-08T09:22:26,409,1,40.88,27.99
2020-11-08T09:22:36,746,52,43.14,27.86
2020-11-08T09:22:46,592,29,41.99,27.89
2020-11-08T09:22:56,483,12,41.44,27.93
2020-11-08T09:23:06,483,12,41.13,27.96
2020-11-08T09:23:16,463,9,40.94,27.99
2020-11-08T09:23:26,413,1,40.81,28.00
2020-11-08T09:23:36,400,0,40.78,28.02
2020-11-08T09:23:46,400,0,40.69,28.04
2020-11-08T09:23:56,400,0,40.59,28.05
2020-11-08T09:24:06,416,2,40.57,28.07
2020-11-08T09:24:16,408,1,40.49,28.08
2020-11-08T09:24:26,414,2,40.45,28.09
2020-11-08T09:24:36,421,3,40.39,28.12
2020-11-08T09:24:46,425,3,40.39,28.12
2020-11-08T09:24:56,400,0,40.27,28.12
2020-11-08T09:25:06,408,1,40.26,28.14
2020-11-08T09:25:16,414,2,40.23,28.15
2020-11-08T09:25:26,420,3,40.21,28.15
2020-11-08T09:25:36,406,0,40.10,28.16
2020-11-08T09:25:46,407,1,40.13,28.17
2020-11-08T09:25:56,400,0,40.05,28.18
2020-11-08T09:26:06,403,0,40.04,28.18
2020-11-08T09:26:16,414,2,40.03,28.19
2020-11-08T09:26:26,403,0,39.98,28.18
2020-11-08T09:26:36,400,0,39.96,28.18
2020-11-08T09:26:46,405,0,40.00,28.20
2020-11-08T09:26:56,400,0,39.90,28.19
2020-11-08T09:27:06,406,0,39.94,28.21
2020-11-08T09:27:16,433,5,39.87,28.20
2020-11-08T09:27:26,422,3,39.84,28.21
2020-11-08T09:27:36,463,9,39.91,28.22
2020-11-08T09:27:46,481,12,39.90,28.24
2020-11-08T09:27:56,481,12,39.87,28.24
2020-11-08T09:28:06,463,9,39.82,28.24
2020-11-08T09:28:16,461,9,39.83,28.24
2020-11-08T09:28:26,481,12,39.89,28.24
2020-11-08T09:28:36,478,11,39.90,28.24
2020-11-08T09:28:46,478,11,39.88,28.24
2020-11-08T09:28:56,461,9,39.86,28.26
2020-11-08T09:29:06,442,6,39.88,28.25
2020-11-08T09:29:16,478,11,39.85,28.24
2020-11-08T09:29:26,486,13,39.81,28.24
2020-11-08T09:29:36,481,12,39.85,28.25
2020-11-08T09:29:46,442,6,39.82,28.25
2020-11-08T09:29:56,425,3,39.81,28.25
2020-11-08T09:30:06,421,3,39.82,28.24
2020-11-08T09:30:16,470,10,39.80,28.23
2020-11-08T09:30:26,478,11,39.83,28.23
2020-11-08T09:30:36,478,11,39.82,28.24
2020-11-08T09:30:46,448,7,39.81,28.23
2020-11-08T09:30:56,436,5,39.79,28.24
2020-11-08T09:31:06,446,7,39.79,28.24
2020-11-08T09:31:16,461,9,39.80,28.25
2020-11-08T09:31:26,400,0,39.73,28.24
2020-11-08T09:31:36,436,5,39.73,28.26
2020-11-08T09:31:46,408,1,39.76,28.26
2020-11-08T09:31:56,402,0,39.72,28.27
2020-11-08T09:32:06,403,0,39.63,28.25
2020-11-08T09:32:16,414,2,39.66,28.28
2020-11-08T09:32:26,426,3,39.71,28.27
2020-11-08T09:32:36,417,2,39.69,28.29
2020-11-08T09:32:46,417,2,39.64,28.30
2020-11-08T09:32:56,414,2,39.56,28.29
2020-11-08T09:33:06,417,2,39.66,28.30
2020-11-08T09:33:16,438,5,39.62,28.31
2020-11-08T09:33:26,455,8,39.69,28.30
2020-11-08T09:33:36,455,8,39.70,28.34
2020-11-08T09:33:46,452,7,39.63,28.31
2020-11-08T09:33:56,438,5,39.65,28.30
2020-11-08T09:34:06,438,5,39.65,28.32
2020-11-08T09:34:16,447,7,39.70,28.33
2020-11-08T09:34:26,438,5,39.64,28.32
2020-11-08T09:34:36,447,7,39.69,28.33
2020-11-08T09:34:46,452,7,39.60,28.34
2020-11-08T09:34:56,452,7,39.62,28.36
2020-11-08T09:35:06,455,8,39.67,28.37
2020-11-08T09:35:16,472,10,39.60,28.36
2020-11-08T09:35:26,455,8,39.61,28.35
2020-11-08T09:35:36,460,9,39.65,28.35
2020-11-08T09:35:46,477,11,39.65,28.37
2020-11-08T09:35:56,530,19,39.67,28.38
2020-11-08T09:36:06,537,20,39.58,28.38
2020-11-08T09:36:16,549,22,39.63,28.39
2020-11-08T09:36:26,543,21,39.61,28.39
2020-11-08T09:36:36,537,20,39.60,28.40
2020-11-08T09:36:46,519,18,39.57,28.38
2020-11-08T09:36:56,543,21,39.67,28.38
2020-11-08T09:37:06,575,26,39.65,28.37
2020-11-08T09:37:16,543,21,39.66,28.35
2020-11-08T09:37:26,537,20,39.63,28.35
2020-11-08T09:37:36,575,26,39.65,28.38
2020-11-08T09:37:46,537,20,39.67,28.37
2020-11-08T09:37:56,514,17,39.70,28.35
2020-11-08T09:38:06,530,19,39.68,28.35
2020-11-08T09:38:16,526,19,39.68,28.37
2020-11-08T09:38:26,543,21,39.71,28.36
2020-11-08T09:38:36,564,24,39.66,28.36
2020-11-08T09:38:46,611,32,39.69,28.37
2020-11-08T09:38:56,624,34,39.69,28.36
2020-11-08T09:39:06,631,35,39.67,28.37
2020-11-08T09:39:16,699,45,39.69,28.38
2020-11-08T09:39:26,665,40,39.67,28.35
2020-11-08T09:39:36,699,45,39.72,28.39
2020-11-08T09:39:46,690,44,39.69,28.37
2020-11-08T09:39:56,715,47,39.65,28.38
2020-11-08T09:40:06,665,40,39.70,28.36
2020-11-08T09:40:16,787,58,39.69,28.35
2020-11-08T09:40:26,7992,1156,39.96,28.34
2020-11-08T09:40:36,3033,401,39.80,28.33
2020-11-08T09:40:46,2222,277,39.80,28.33
2020-11-08T09:40:56,2060,252,39.78,28.32
2020-11-08T09:41:06,5337,752,39.78,28.33
2020-11-08T09:41:16,7992,1156,39.78,28.33
2020-11-08T09:41:26,7992,1156,39.76,28.36
2020-11-08T09:41:36,7985,1155,39.78,28.35
2020-11-08T09:41:46,5152,723,39.78,28.36
2020-11-08T09:41:56,6183,881,39.74,28.35
2020-11-08T09:42:06,6732,964,39.77,28.36
2020-11-08T09:42:16,6183,881,39.78,28.36
2020-11-08T09:42:26,7236,1041,39.80,28.36
2020-11-08T09:42:36,7663,1106,39.78,28.35
2020-11-08T09:42:46,7992,1156,39.84,28.35
2020-11-08T09:42:56,7985,1155,39.82,28.33
2020-11-08T09:43:06,7984,1155,39.85,28.35
2020-11-08T09:43:16,7985,1155,39.84,28.34
2020-11-08T09:43:26,7820,1130,39.83,28.33
2020-11-08T09:43:36,7984,1155,39.87,28.34
2020-11-08T09:43:46,7320,1054,39.88,28.35
2020-11-08T09:43:56,7627,1100,39.88,28.33
2020-11-08T09:44:06,7320,1054,39.82,28.34
2020-11-08T09:44:16,6732,964,39.85,28.34
2020-11-08T09:44:26,6225,887,39.83,28.35
2020-11-08T09:44:36,6362,908,39.81,28.36
2020-11-08T09:44:46,6362,908,39.80,28.33
2020-11-08T09:44:56,6362,908,39.82,28.34
2020-11-08T09:45:06,6362,908,39.82,28.35
2020-11-08T09:45:16,5762,816,39.78,28.33
2020-11-08T09:45:26,5658,801,39.80,28.36
2020-11-08T09:45:36,5440,767,39.77,28.35
2020-11-08T09:45:46,5540,783,39.78,28.35
2020-11-08T09:45:56,5157,724,39.79,28.34
2020-11-08T09:46:06,5069,711,39.81,28.35
2020-11-08T09:46:16,4826,674,39.81,28.36
2020-11-08T09:46:26,4423,612,39.77,28.32
2020-11-08T09:46:36,4826,674,39.83,28.31
2020-11-08T09:46:46,4146,570,39.80,28.33
2020-11-08T09:46:56,4222,582,39.77,28.35
2020-11-08T09:47:06,4011,550,39.82,28.34
2020-11-08T09:47:16,3287,439,39.86,28.30
2020-11-08T09:47:26,3206,427,39.92,28.29
2020-11-08T09:47:36,3246,433,39.84,28.30
2020-11-08T09:47:46,3340,447,39.87,28.31
2020-11-08T09:47:56,3246,433,39.86,28.31
2020-11-08T09:48:06,3158,420,39.88,28.31
2020-11-08T09:48:16,2944,387,39.89,28.31
2020-11-08T09:48:26,2906,381,39.88,28.29
2020-11-08T09:48:36,2906,381,39.86,28.30
2020-11-08T09:48:46,2786,363,39.87,28.30
2020-11-08T09:48:56,2574,331,39.83,28.29
